transaction_id,date,year,month,quarter,client_name,project_name,service_category,project_type,location,amount,cost,profit,profit_margin,status,payment_status,payment_method,duration_days,project_manager,source_note
GTX-2024-0001,2024-01-05,2024,2024-01,Q1,BGC Hotel Group,MEPFS Upgrade for Condominium - BGC Hotel Group,MEPFS Works,MEPFS Upgrade for Condominium,Rizal,6395000,4905000,1490000,0.233,Completed,Paid,Bank Transfer,416,Reyes,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0002,2024-01-05,2024,2024-01,Q1,BGC Hotel Group,Ventilation System Works - BGC Hotel Group,Mechanical Works,Ventilation System Works,Las Pinas City,4310000,3560000,750000,0.174,Completed,Paid,Cash Deposit,37,Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0003,2024-01-05,2024,2024-01,Q1,Laguna Industrial Park,Access Control Installation - Laguna Industrial Park,Auxiliary Works,Access Control Installation,Cebu City,460000,350000,110000,0.2391,Completed,Paid,Check Payment,208,Reyes,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0004,2024-01-09,2024,2024-01,Q1,Davao Retail Center,Electrical System Upgrade - Davao Retail Center,General Electrical Works,Electrical System Upgrade,Cebu City,4080000,2845000,1235000,0.3027,Completed,Paid,Progress Billing,225,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0005,2024-01-09,2024,2024-01,Q1,Quezon City Estate Group,MEPFS Upgrade for Condominium - Quezon City Estate Group,MEPFS Works,MEPFS Upgrade for Condominium,Laguna,6110000,4345000,1765000,0.2889,Completed,Paid,Cash Deposit,334,Reyes,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0006,2024-01-19,2024,2024-01,Q1,South Luzon Warehousing,Access Road Improvement - South Luzon Warehousing,Civil Works,Access Road Improvement,Tarlac,3650000,2485000,1165000,0.3192,Completed,Paid,Progress Billing,415,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0007,2024-01-20,2024,2024-01,Q1,Pampanga Medical Suites,Equipment Room Upgrade - Pampanga Medical Suites,Mechanical Works,Equipment Room Upgrade,Paranaque City,4255000,3190000,1065000,0.2503,Completed,Paid,Progress Billing,199,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0008,2024-01-22,2024,2024-01,Q1,Muntinlupa Town Center,Ceiling and Partition Works - Muntinlupa Town Center,Architectural Works,Ceiling and Partition Works,Tarlac,1430000,1180000,250000,0.1748,Completed,Unpaid,Check Payment,114,Ramos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0009,2024-01-29,2024,2024-01,Q1,Pampanga Medical Suites,Warehouse Rehabilitation - Pampanga Medical Suites,Renovation and Rehabilitation,Warehouse Rehabilitation,Rizal,940000,650000,290000,0.3085,Completed,Paid,Online Transfer,407,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0010,2024-01-31,2024,2024-01,Q1,Metro Build Corporation,Access Road Improvement - Metro Build Corporation,Civil Works,Access Road Improvement,Quezon City,1135000,840000,295000,0.2599,Delayed,Partially Paid,Check Payment,62,Reyes,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0011,2024-02-05,2024,2024-02,Q1,Nuvali Property Office,Fire Line Repair Works - Nuvali Property Office,Fire Protection Works,Fire Line Repair Works,Pasay City,3420000,2890000,530000,0.155,Completed,Paid,Check Payment,258,Reyes,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0012,2024-02-09,2024,2024-02,Q1,Northpoint Realty,Access Control Installation - Northpoint Realty,Auxiliary Works,Access Control Installation,Cebu City,685000,470000,215000,0.3139,Completed,Paid,Cash Deposit,269,Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0013,2024-02-11,2024,2024-02,Q1,Manila School Foundation,Network and Communication Works - Manila School Foundation,Auxiliary Works,Network and Communication Works,Paranaque City,1320000,980000,340000,0.2576,Completed,Paid,Cash Deposit,268,Reyes,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0014,2024-02-13,2024,2024-02,Q1,Quezon City Estate Group,Commercial Unit Fit-Out - Quezon City Estate Group,Fit-Out Works,Commercial Unit Fit-Out,Bulacan,1935000,1370000,565000,0.292,Completed,Paid,Online Transfer,377,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0015,2024-02-13,2024,2024-02,Q1,Cebu Realty Ventures,School Facility Repair - Cebu Realty Ventures,Renovation and Rehabilitation,School Facility Repair,Davao City,2020000,1565000,455000,0.2252,Completed,Paid,Online Transfer,210,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0016,2024-02-18,2024,2024-02,Q1,Davao Retail Center,Mechanical Equipment Installation - Davao Retail Center,Mechanical Works,Mechanical Equipment Installation,Quezon City,3690000,2510000,1180000,0.3198,Completed,Paid,Progress Billing,350,Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0017,2024-02-19,2024,2024-02,Q1,Cebu Realty Ventures,Sanitary Line Upgrade - Cebu Realty Ventures,Plumbing and Sanitary Works,Sanitary Line Upgrade,BGC Taguig,2165000,1560000,605000,0.2794,Completed,Paid,Progress Billing,366,Reyes,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0018,2024-02-23,2024,2024-02,Q1,Nuvali Property Office,Ceiling and Partition Works - Nuvali Property Office,Architectural Works,Ceiling and Partition Works,Mandaue City,2535000,1800000,735000,0.2899,Completed,Paid,Online Transfer,57,Villanueva,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0019,2024-02-24,2024,2024-02,Q1,Bulacan Builders Group,Interior Finishing Works - Bulacan Builders Group,Architectural Works,Interior Finishing Works,Tarlac,925000,780000,145000,0.1568,For Billing,Partially Paid,Progress Billing,196,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0020,2024-02-29,2024,2024-02,Q1,Nuvali Property Office,Warehouse Rehabilitation - Nuvali Property Office,Renovation and Rehabilitation,Warehouse Rehabilitation,Mandaue City,1185000,1005000,180000,0.1519,Completed,Paid,Cash Deposit,37,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0021,2024-03-02,2024,2024-03,Q1,Batangas Manufacturing Plant,Office Building Rehabilitation - Batangas Manufacturing Plant,Renovation and Rehabilitation,Office Building Rehabilitation,Tarlac,3045000,2250000,795000,0.2611,Completed,Paid,Progress Billing,114,Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0022,2024-03-04,2024,2024-03,Q1,Quezon City Estate Group,Integrated Building Services Package - Quezon City Estate Group,MEPFS Works,Integrated Building Services Package,Paranaque City,4710000,3430000,1280000,0.2718,Completed,Paid,Cash Deposit,292,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0023,2024-03-08,2024,2024-03,Q1,BGC Hotel Group,Condominium Structural Package - BGC Hotel Group,Structural Works,Condominium Structural Package,Mandaue City,1300000,960000,340000,0.2615,Completed,Partially Paid,Check Payment,166,Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0024,2024-03-12,2024,2024-03,Q1,Rizal Housing Cooperative,Water Supply System Works - Rizal Housing Cooperative,Plumbing and Sanitary Works,Water Supply System Works,Pampanga,1610000,1175000,435000,0.2702,Delayed,Unpaid,Cash Deposit,178,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0025,2024-03-14,2024,2024-03,Q1,Bulacan Builders Group,MEPFS Package for Commercial Building - Bulacan Builders Group,MEPFS Works,MEPFS Package for Commercial Building,Paranaque City,3110000,2485000,625000,0.201,Completed,Partially Paid,Cash Deposit,166,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0026,2024-03-18,2024,2024-03,Q1,BGC Hotel Group,Condominium Structural Package - BGC Hotel Group,Structural Works,Condominium Structural Package,Paranaque City,4700000,3495000,1205000,0.2564,Completed,Unpaid,Bank Transfer,245,Reyes,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0027,2024-03-26,2024,2024-03,Q1,Bulacan Builders Group,CCTV and Structured Cabling - Bulacan Builders Group,Auxiliary Works,CCTV and Structured Cabling,Pampanga,800000,605000,195000,0.2437,Completed,Paid,Bank Transfer,258,Ramos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0028,2024-03-28,2024,2024-03,Q1,Northpoint Realty,MEPFS Rough-in Works - Northpoint Realty,MEPFS Works,MEPFS Rough-in Works,Ortigas Center,4360000,3240000,1120000,0.2569,Completed,Paid,Progress Billing,356,Torres,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0029,2024-03-31,2024,2024-03,Q1,Tarlac Industrial Estate,Integrated Building Services Package - Tarlac Industrial Estate,MEPFS Works,Integrated Building Services Package,Cavite,5210000,4445000,765000,0.1468,Completed,Paid,Progress Billing,298,Reyes,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0030,2024-04-03,2024,2024-04,Q2,Rizal Housing Cooperative,Generator and Transfer Switch Works - Rizal Housing Cooperative,General Electrical Works,Generator and Transfer Switch Works,Mandaue City,3600000,2540000,1060000,0.2944,Completed,Unpaid,Progress Billing,317,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0031,2024-04-04,2024,2024-04,Q2,Cavite Landholdings,Office Fit-Out Works - Cavite Landholdings,Fit-Out Works,Office Fit-Out Works,Rizal,2120000,1645000,475000,0.2241,Completed,Paid,Progress Billing,270,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0032,2024-04-09,2024,2024-04,Q2,Davao Retail Center,Condominium Structural Package - Davao Retail Center,Structural Works,Condominium Structural Package,BGC Taguig,4840000,4235000,605000,0.125,Completed,Paid,Check Payment,328,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
